Alloy,No,S_Phase,Phase,a (�),delta,Tm (K),D_Tm (K),Hmix (kJ/mol),?Hmix (kJ/mol),Sid (kJ/mol),Elec_nega,D_elec_nega,VEC,d_VEC,BulkModulus (GPa),D_Bulk (GPa),Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Fe,Ga,Gd,Ge,H,Hf,Hg,Ho,I,In,Ir,K,La,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Nd,Ne,Ni,Ns,O,Os,P,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Te,Ti,Tl,Tm,V,W,Y,Yb,Zn,Zr
Ag2Al,2,IM,IM,1.544,0.05129272,1134.443333,142.1096068,-3.555555556,0.20951312,0.636514168,1.823333333,0.150849447,8.333333333,3.771236166,92,11.3137085,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag5Cd8,2,IM,IM,1.580307692,0.009851332,840.6469231,311.7081415,-1.893491124,0.051817021,0.666278442,1.782307692,0.116761021,11.61538462,0.486504255,64.30769231,28.21724681,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag2Ga3,2,IM,IM,1.4752,0.069074548,675.718,456.594686,-4.8,0.09797959,0.673011667,1.858,0.058787754,6.2,3.919183588,40,48.98979486,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag3Ga,2,IM,IM,1.548,0.058182585,1001.925,403.5764984,-3.75,0.541265877,0.562335145,1.9,0.051961524,9,3.464101615,75,43.30127019,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AgMg3,2,IM,IM,1.60075,0.000270506,1000.9825,135.0696521,-7.5,1.082531755,0.562335145,1.465,0.268467875,4.25,3.897114317,58.75,23.8156986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AgPt3,2,IM,IM,1.44025,0.064038678,1839.7825,349.2117537,-0.75,0.108253175,0.562335145,2.1925,0.151554446,10.25,0.433012702,197.5,56.29165125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag3Sb,2,IM,IM,1.5325,0.07628935,1152.1425,143.3921562,-3,0.433012702,0.562335145,1.96,0.051961524,9.5,2.598076211,85.5,25.11473671,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag7Sb,2,IM,IM,1.56625,0.057011401,1193.53625,109.5175683,-1.75,0.744117556,0.376770161,1.945,0.03968627,10.25,1.984313483,92.75,19.18169701,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag3Sn,2,IM,IM,1.605,0.005395797,1052.4675,316.0343205,-2.25,0.324759526,0.562335145,1.9375,0.012990381,9.25,3.031088913,89.5,18.18653348,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag4Sn,2,IM,IM,1.604,0.004987531,1088.96,291.94,-1.92,0.432,0.500402424,1.936,0.012,9.6,2.8,91.6,16.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
