id,formula,density_calc,Hmix,Smix,Gmix,Tm,delta,elec_diff,VEC,processing,microstructure,doi,composition_norm
Alloy 0000,Al0.5NbTaTiV,8.470881725,-8.395061728,13.14594406,575.7847956,2215.832994,3.737504762,0.049615808,4.555555556,AC,BCC,10.1016/j.proeng.2012.03.043,Al0.5NbTaTiV
Alloy 0001,Al0.75MoNbTiV,6.606534579,-9.351800554,13.33280622,497.3287529,1915.290482,3.863331752,0.232764906,4.684210526,AC,BCC,10.3390/e16020870,Al0.75MoNbTiV
Alloy 0002,Al0.25MoNbTiV,7.075664374,-4.041522491,12.70837022,546.1289,2098.157909,4.003399323,0.243216622,4.882352941,AC,BCC,10.3390/e16020870,Al0.25MoNbTiV
Alloy 0003,Al0.25NbTaTiV,8.805485735,-4.816608997,12.70837022,601.9875092,2312.760984,3.832439709,0.05017616,4.647058824,AC,BCC,10.1016/j.proeng.2012.03.043,Al0.25NbTaTiV
Alloy 0004,Al0.2MoTaTiV,7.128849756,-3.35600907,12.56917544,551.9585078,2119.418332,4.017794358,0.244332586,4.904761905,AC,BCC,10.4028/www.scientific.net/MSF.898.638,Al0.2MoTaTiV
Alloy 0005,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,7.71,-4.86,13.46,601.2169546,2316.49,4.5,0.11,4.34,AC,BCC,10.1007/s11837-014-1066-0,Al0.3NbTa0.8Ti1.4V0.2Zr1.3
Alloy 0006,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,7.71,-4.86,13.46,601.2169546,2316.49,4.5,0.11,4.34,AC,BCC,10.1007/s11837-014-1066-0,Al0.3NbTa0.8Ti1.4V0.2Zr1.3
Alloy 0007,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,7.71,-4.86,13.46,601.2169546,2316.49,4.5,0.11,4.34,AC,BCC,10.1007/s11837-014-1066-0,Al0.3NbTa0.8Ti1.4V0.2Zr1.3
Alloy 0008,Al0.5CrNbTi2V0.5,5.785823445,-10.96,12.22898133,463.7034701,1778.243734,6.018491588,0.046861498,4.6,AC,BCC,10.1016/j.matlet.2016.11.030,Al0.5CrNbTi2V0.5
Alloy 0009,Al0.5MoNbTiV,6.827812983,-7.012345679,13.14594406,519.8353005,2000.516448,3.93239278,0.237834884,4.777777778,AC,BCC,10.3390/e16020870,Al0.5MoNbTiV
