formula,No,S_Phase,Phase,delta,Tm,D_Tm (K),?Hmix (kJ/mol),elec_diff,VEC,modulus_calc,D_Bulk (GPa),Tm,composition_norm
Ag2Al,2,IM,IM,0.05129272,1134.443333,142.1096068,0.20951312,1.823333333,8.333333333,92.0,11.3137085,0,Ag2Al
Ag5Cd8,2,IM,IM,0.009851332,840.6469231,311.7081415,0.051817021,1.782307692,11.61538462,64.30769231,28.21724681,0,Ag5Cd8
Ag2Ga3,2,IM,IM,0.069074548,675.718,456.594686,0.09797959,1.858,6.2,40.0,48.98979486,0,Ag2Ga3
Ag3Ga,2,IM,IM,0.058182585,1001.925,403.5764984,0.541265877,1.9,9.0,75.0,43.30127019,0,Ag3Ga
AgMg3,2,IM,IM,0.000270506,1000.9825,135.0696521,1.082531755,1.465,4.25,58.75,23.8156986,0,AgMg3
AgPt3,2,IM,IM,0.064038678,1839.7825,349.2117537,0.108253175,2.1925,10.25,197.5,56.29165125,0,AgPt3
Ag3Sb,2,IM,IM,0.07628935,1152.1425,143.3921562,0.433012702,1.96,9.5,85.5,25.11473671,0,Ag3Sb
Ag7Sb,2,IM,IM,0.057011401,1193.53625,109.5175683,0.744117556,1.945,10.25,92.75,19.18169701,0,Ag7Sb
Ag3Sn,2,IM,IM,0.005395797,1052.4675,316.0343205,0.324759526,1.9375,9.25,89.5,18.18653348,0,Ag3Sn
Ag4Sn,2,IM,IM,0.004987531,1088.96,291.94,0.432,1.936,9.6,91.6,16.8,0,Ag4Sn
Ag5Sn,2,IM,IM,0.00464879,1113.288333,271.9990356,0.496903995,1.935,9.833333333,93.0,15.65247584,0,Ag5Sn
AgTi3,2,IM,IM,0.039930339,1764.4825,305.7372784,0.216506351,1.6375,5.75,107.5,4.330127019,0,AgTi3
AgZn3,2,IM,IM,0.061377773,828.2425,234.8011376,0.433012702,1.72,11.75,77.5,12.99038106,0,AgZn3
AgZr,2,IM,IM,0.000936622,1681.465,446.535,0.0,1.63,7.5,50.0,50.0,0,AgZr
AlB12,2,IM,IM,0.173324204,2240.113077,377.1953661,0.0,2.006923077,3.0,212.6153846,39.43746454,0,AlB12
AlB2,2,IM,IM,0.262794474,1877.156667,667.2872413,0.0,1.896666667,3.0,174.6666667,69.76786908,0,AlB2
Al3Ca8,2,IM,IM,0.132562915,1065.491818,80.84652236,1.840337898,1.166363636,2.272727273,33.09090909,26.27634451,0,Al3Ca8
Al4Ca,2,IM,IM,0.141225337,969.776,72.612,2.88,1.488,2.8,64.2,23.6,0,Al4Ca
Al11Ce3,2,IM,IM,0.060492448,962.2978571,55.20114377,5.0913908,1.505,3.214285714,64.42857143,22.15759878,0,Al11Ce3
Al2Ce,2,IM,IM,0.068298307,978.3133333,63.41805018,1.990374643,1.446666667,3.333333333,58.0,25.45584412,0,Al2Ce
AlCe1,2,IM,IM,0.07073329,1000.735,67.265,0.0,1.365,3.5,49.0,27.0,0,AlCe1
Al13Co4,2,IM,IM,0.055258661,1129.83,353.9930242,2.25888191,1.673529412,4.411764706,100.4705882,44.11498031,0,Al13Co4
Al5Co2,2,IM,IM,0.059239521,1171.907143,377.0022251,1.576529096,1.687142857,4.714285714,105.7142857,46.98241095,0,Al5Co2
Al9Co2,2,IM,IM,0.049897204,1085.202727,321.8737211,2.96761719,1.659090909,4.090909091,94.90909091,40.11223922,0,Al9Co2
AlCo,2,IM,IM,0.067461796,1350.735,417.265,0.0,1.745,6.0,128.0,52.0,0,AlCo
Al45Cr7,2,IM,IM,0.044380905,1101.272115,425.4560153,1.82268844,1.616730769,3.403846154,87.30769231,28.6702328,0,Al45Cr7
Al2Cu,2,IM,IM,0.05258061,1074.903333,200.0169382,0.05237828,1.706666667,5.666666667,97.33333333,30.16988933,0,Al2Cu
Al4Cu3,2,IM,IM,0.055790802,1115.312857,209.974045,0.010099422,1.734285714,6.428571429,103.4285714,31.6717862,0,Al4Cu3
Al4Cu5,2,IM,IM,0.056833548,1169.192222,210.8363651,0.006134617,1.771111111,7.444444444,111.5555556,31.80185568,0,Al4Cu5
AlEr2,2,IM,IM,0.092679044,1512.49,409.4289684,1.990374643,1.363333333,10.33333333,54.66666667,15.08494467,0,AlEr2
Al2Fe,2,IM,IM,0.065801411,1225.98,413.6716091,0.576161081,1.683333333,4.666666667,107.3333333,44.31202495,0,Al2Fe
Al3In,2,IM,IM,0.037859034,807.54,218.1171582,0.757772228,1.6525,3.0,57.0,32.90896534,0,Al3In
Al2La,2,IM,IM,0.133281354,1019.98,122.3436153,1.990374643,1.44,3.0,60.0,22.627417,0,Al2La
AlLa,2,IM,IM,0.13500453,1063.235,129.765,0.0,1.355,3.0,52.0,24.0,0,AlLa
Al4Li9,2,IM,IM,0.027205276,601.2869231,221.4553846,0.273099681,1.173846154,1.615384615,31.0,30.0,0,Al4Li9
Al12Mg17,2,IM,IM,0.054363704,927.3324138,5.156603838,0.02928135,1.434137931,2.413793103,57.82758621,15.26788147,0,Al12Mg17
Al3Mg2,2,IM,IM,0.055209892,929.282,5.129231521,0.039191836,1.49,2.6,63.6,15.18683641,0,Al3Mg2
Al11Mn4,2,IM,IM,0.025715132,1089.611333,258.9311085,1.829794181,1.594,4.066666667,87.73333333,19.4575321,0,Al11Mn4
Al2Mn,2,IM,IM,0.027519106,1128.646667,276.0214891,0.995187322,1.59,4.333333333,90.66666667,20.74179891,0,Al2Mn
Al4Mn,2,IM,IM,0.023170387,1050.576,234.212,2.736,1.598,3.8,84.8,17.6,0,Al4Mn
Al6Mn,2,IM,IM,0.020202993,1017.117143,204.8928184,3.392150518,1.601428571,3.571428571,82.28571429,15.39679267,0,Al6Mn
Al8Mn5,2,IM,IM,0.028485858,1158.673846,284.8628367,0.492261702,1.586923077,4.538461538,92.92307692,21.40618724,0,Al8Mn5
Al9Mn11,2,IM,IM,0.02941415,1255.5115,291.297497,0.094523807,1.577,5.2,100.2,21.88972362,0,Al9Mn11
AlMn,2,IM,IM,0.029475198,1226.235,292.765,0.0,1.58,5.0,98.0,22.0,0,AlMn
AlMo,2,IM,IM,0.006245663,1914.735,981.265,0.0,1.885,4.5,153.0,77.0,0,AlMo
AlNd,2,IM,IM,0.127361365,1115.235,181.765,0.0,1.375,4.5,54.0,22.0,0,AlNd
AlNi,2,IM,IM,0.069454817,1330.735,397.265,0.0,1.76,6.5,128.0,52.0,0,AlNi
AlRe2,2,IM,IM,0.019275508,2617.156667,1190.546259,0.471404521,1.803333333,5.666666667,272.0,138.5929291,0,AlRe2
Al13Ru4,2,IM,IM,0.028281193,1327.241765,709.8821442,2.496658954,1.748823529,4.176470588,109.8823529,61.08228043,0,Al13Ru4
Al2Ru,2,IM,IM,0.031636381,1491.313333,788.9096077,1.099943882,1.806666667,4.666666667,124.0,67.88225099,0,Al2Ru
Al3Ru2,2,IM,IM,0.033025249,1602.882,819.8589138,0.411514277,1.846,5.0,133.6,70.54530459,0,Al3Ru2
Al17Sb3,2,IM,IM,0.025708537,929.0165,10.6014505,0.349929993,1.676,3.3,70.9,12.14042833,0,Al17Sb3
AlSb,2,IM,IM,0.036929761,918.625,14.845,0.0,1.83,4.0,59.0,17.0,0,AlSb
Al11Sm3,2,IM,IM,0.063175781,1021.655,168.861419,5.0913908,1.515714286,4.071428571,67.85714286,15.59238433,0,Al11Sm3
Al2Sm,2,IM,IM,0.071273363,1070.646667,193.9971024,1.990374643,1.463333333,4.666666667,63.33333333,17.91337179,0,Al2Sm
Al3Ti,2,IM,IM,0.009024231,1185.3525,436.2732875,3.247595264,1.5925,3.25,84.5,14.72243186,0,Al3Ti
AlTi,2,IM,IM,0.010366275,1437.235,503.765,0.0,1.575,3.5,93.0,17.0,0,AlTi
Al3V,2,IM,IM,0.035801478,1245.8525,541.0623614,1.732050808,1.615,3.5,97.0,36.37306696,0,Al3V
Al8V5,2,IM,IM,0.040676892,1414.058462,607.9016623,0.41453617,1.617692308,3.769230769,108.3076923,40.86635745,0,Al8V5
Al3Yb,2,IM,IM,0.077416547,974.3525,70.81056714,2.165063509,1.4825,2.75,64.75,19.48557159,0,Al3Yb
Al2Zr3,2,IM,IM,0.054589176,1650.188,585.1977965,0.862220389,1.442,3.6,30.4,37.23224409,0,Al2Zr3
Al3Zr,2,IM,IM,0.050208627,1232.1025,517.2466628,4.763139721,1.54,3.25,57.0,32.90896534,0,Al3Zr
Al3Zr4,2,IM,IM,0.055319516,1616.058571,591.1390432,0.444374551,1.45,3.571428571,32.57142857,37.61024611,0,Al3Zr4
AuBe5,2,IM,IM,0.102245653,1522.888333,82.98420942,0.0,1.731666667,3.5,145.0,33.54101966,0,AuBe5
Au2Bi,2,IM,IM,0.049831789,1073.12,373.6493653,0.10475656,2.366666667,9.0,157.0,89.09545443,0,Au2Bi
AuCu,2,IM,IM,0.060294118,1347.55,10.22,0.0,2.22,11.0,180.0,40.0,0,AuCu
AuCu3,2,IM,IM,0.053839335,1352.66,8.850779627,0.974278579,2.06,11.0,160.0,34.64101615,0,AuCu3
AuGa2,2,IM,IM,0.016732295,647.7166667,487.6302644,0.995187322,2.053333333,5.666666667,73.33333333,103.7089946,0,AuGa2
Au3In2,2,IM,IM,0.038818129,974.298,444.6215802,0.215555097,2.236,7.8,132.0,107.7775487,0,Au3In2
Au2Pb,2,IM,IM,0.10808891,1091.756667,347.2931386,0.10475656,2.47,8.666666667,162.0,82.02438662,0,Au2Pb
AuPb2,2,IM,IM,0.100414212,846.1833333,347.2931386,0.10475656,2.4,6.333333333,104.0,82.02438662,0,AuPb2
AuPb3,2,IM,IM,0.090627622,784.79,319.0091177,0.216506351,2.3825,5.75,89.5,75.34421013,0,AuPb3
AuSb2,2,IM,IM,0.03861334,1048.296667,204.37743,0.20951312,2.213333333,7.0,101.3333333,83.9100047,0,AuSb2
Au9Sn,2,IM,IM,0.036580353,1254.105,249.675,1.92,2.482,10.3,203.8,48.6,0,Au9Sn
AuSn,2,IM,IM,0.05813194,921.205,416.125,0.0,2.25,7.5,139.0,81.0,0,AuSn
AuSn2,2,IM,IM,0.053765488,782.4966667,392.3264124,0.523782801,2.153333333,6.333333333,112.0,76.36753237,0,AuSn2
AuSn4,2,IM,IM,0.044938147,671.53,332.9,1.44,2.076,5.4,90.4,64.8,0,AuSn4
B4Co,2,IM,IM,0.172436035,2232.8,232.4,3.456,2.008,4.2,215.2,17.6,0,B4Co
BCo2,2,IM,IM,0.16918247,1961.666667,273.8860266,1.257078722,1.933333333,7.0,194.6666667,20.74179891,0,BCo2
